"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"wahwah";1;"LOGO";;;
2;"G***";"goose";1;"LOGO";;;
3;"G***";"keystone";1;"LOGO";;;
4;"C3,C4";"CP_Radial_D5.0mm_P2.00mm";2;"10uf";;;
5;"Cutoff,LFO Rate,Q,Attenuate";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles_centered";4;"100K";;;
6;"D1,D2,D3";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"1N4148";;;
7;"H1,H2";"MountingHole_3.2mm_M3";2;"MountingHole";;;
8;"J1";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Input";;;
9;"J2";"Power_Header";1;"Synth_power_2x5";;;
10;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Output";;;
11;"J4";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"CV_switched_jack";;;
12;"Inductor";"Inductor_13R106C";1;"200mH or 500mH (We like 200, use sockets)";;;
13;"R1,R2,R3,R4,R5,R6,R9,R11,R12,R23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"100K";;;
14;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"150K";;;
15;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4K";;;
16;"R10,R24,R25,R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"10K";;;
17;"R13,R14,R28,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1K";;;
18;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2K";;;
19;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"68K";;;
20;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2.2K";;;
21;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22K";;;
22;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470";;;
23;"R20,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"460K";;;
24;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47K";;;
25;"R26,R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"3K";;;
26;"SW1";"DPDT-toggle-switch-1M-seriesx";1;"SW_DPDT_x2";;;
27;"U1";"DIP-14_W7.62mm_Socket_LongPads";1;"TL074";;;
28;"VTL5C or DIY,VTL5C or DIY";"PerkinElmer_VTL5C";2;"VTL5C";;;
29;"Q1,Q2";"TO-92_Inline_Wide";2;"S8050";;;
30;"TrimPos,TrimNeg";"Potentiometer_Bourns_3296W_Vertical";2;"20K";;;
31;"D4";"LED_D5.0mm";1;"LED";;;
32;"TP1,TP2";"Perf_Board_Hole";2;"TestPoint";;;
33;"C2";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;".033uf USE SOCKETS!";;;
34;"C5,C1";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;"4.7uf";;;
35;"C6,C10";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;".22uf";;;
36;"C7";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;".01uf";;;
37;"C8,C9";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;"100nf";;;
